top - 15:51:12 up  4:42,  1 user,  load average: 0.75, 1.11, 0.81
Tasks: 263 total,   2 running, 261 sleeping,   0 stopped,   0 zombie
%Cpu(s): 10.3 us,  0.5 sy,  0.0 ni, 88.7 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
MiB Mem :  15841.9 total,  12117.1 free,   1580.9 used,   2144.0 buff/cache
MiB Swap:   5120.0 total,   5120.0 free,      0.0 used.  13191.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:0H-events_highpri
     84 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/10
     86 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migration/10
     87 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/10
     88 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/10
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:0H-events_highpri
     91 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     92 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/11
     93 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migration/11
     94 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcuc/11
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftirqd/11
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-events_highpri
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
    103 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
    105 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kcompactd0
    106 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    107 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
    108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
    114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    117 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker/1:1-mm_percpu_wq
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:1H-kblockd
    119 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    129 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-aerdrv
    130 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-pcie-dpc
    131 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124-aerdrv
    132 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124-pcie-dpc
    133 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/2:1-events
    135 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker/4:1-mm_percpu_wq
    136 root      20   0       0      0      0 I   0.0   0.0   0:00.97 kworker/5:1-events
    138 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/7:1-events
    139 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker/8:1-events
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    142 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    144 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    145 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    146 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    147 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    148 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
